"Id","Label"
"ou_2421692","Max Planck Institute for Astronomy"
"ou_159875","Max Planck Institute for Astrophysics"
"ou_persistent28","Max Planck Institute for Biophysical Chemistry"
"ou_1863284","Max Planck Institute of Colloids and Interfaces"
"ou_2063285","Max Planck Institute for Dynamics and Self-Organization"
"ou_1738138","Max Planck Institute for Dynamics of Complex Technical Systems"
"ou_1863336","Max-Planck-Institut für Eisenforschung GmbH"
"ou_24021","Fritz Haber Institute of the Max Planck Society"
"ou_24007","Max Planck Institute for Gravitational Physics"
"ou_1497638","Max Planck Institute for Intelligent Systems"
"ou_1445580","Max-Planck-Institut für Kohlenforschung"
"ou_2415691","Max Planck Institute of Microstructure Physics"
"ou_2253650","Max Planck Institute for Physics"
"ou_159888","Max Planck Institute for Extraterrestrial Physics"
"ou_1863404","Max Planck Institute for Chemical Physics of Solids"
"ou_2117288","Max Planck Institute for the Physics of Complex Systems"
"ou_2355696","Max Planck Institute for the Science of Light"
"ou_904545","Max Planck Institute for Nuclear Physics"
"ou_1856284","Max Planck Institute for Plasma Physics"
"ou_1309545","Max Planck Institute for Polymer Research"
"ou_1445561","Max Planck Institute of Quantum Optics"
"ou_2205652","Max Planck Institute for Radio Astronomy"
"ou_1125546","Max Planck Institute for Solar System Research"
"ou_3176553","Max Planck Institute for Solid State Research"
"ou_1938284","Max Planck Institute for the Structure and Dynamics of Matter"
"ou_3054973","Max Planck Institute of Animal Behavior"
"ou_38004","Max Planck Institute for Evolutionary Anthropology"
"ou_1565141","Max Planck Institute of Biochemistry"
"ou_1497750","Max Planck Institute for Biogeochemistry"
"ou_1942284","Max Planck Institute for Biology of Ageing"
"ou_3148638","Max Planck Institute for Molecular Biomedicine"
"ou_2068288","Max Planck Institute of Biophysics"
"ou_2461692","Max Planck Institute for Brain Research"
"ou_2173675","Associated Institute - Research Center caesar (center of advanced european studies and research)"
"ou_2340692","Max Planck Institute of Molecular Cell Biology and Genetics"
"ou_634548","Max Planck Institute for Human Cognitive and Brain Sciences"
"ou_1497794","Max Planck Institute for Biological Cybernetics"
"ou_2421691","Max Planck Institute for Developmental Biology"
"ou_24027","Max Planck Institute for Chemical Ecology"
"ou_3023867","Max Planck Institute for Chemical Energy Conversion"
"ou_2074314","Associated Institute - Ernst Strüngmann Institute (ESI) for Neuroscience in Cooperation with Max-Planck-Society"
"ou_971545","Max Planck Institute for Evolutionary Biology"
"ou_1950288","Max Planck Florida Institute for Neuroscience"
"ou_2575692","Friedrich Miescher Laboratory of the Max Planck Society"
"ou_1433545","Max Planck Institute for Molecular Genetics"
"ou_2324692","Max Planck Institute for Heart and Lung Research"
"ou_2074309","Max Planck Institute for the Science of Human History"
"ou_2243640","Max Planck Institute of Immunobiology and Epigenetics"
"ou_1664137","Max Planck Institute for Infection Biology"
"ou_1125545","Max Planck Institute for Medical Research"
"ou_2173648","Max Planck Institute of Experimental Medicine"
"ou_2149640","Max Planck Institute for Metabolism Research"
"ou_2481692","Max Planck Institute for Marine Microbiology"
"ou_3135468","Max Planck Institute for Terrestrial Microbiology"
"ou_1110547","Max Planck Institute of Neurobiology"
"ou_3164632","Max Planck Research Unit for Neurogenetics"
"ou_2149683","Max Planck Institute for Ornithology"
"ou_1753286","Max Planck Institute of Molecular Physiology"
"ou_67205","Max Planck Institute for Plant Breeding Research"
"ou_1753296","Max Planck Institute of Molecular Plant Physiology"
"ou_1607137","Max Planck Institute of Psychiatry"
"ou_1826284","Max Planck Institute for Chemistry"
"ou_913545","Max Planck Institute for Meteorology"
"ou_1950293","Max Planck Institute for Empirical Aesthetics"
"ou_907574","Max Planck Institute for Social Anthropology"
"ou_1462638","Bibliotheca Hertziana - Max Planck Institute for Art History"
"ou_2173688","Max Planck Institute for Research on Collective Goods"
"ou_3148316","Max Planck Institute for Demographic Research"
"ou_1110545","Max Planck Institute for the Study of Religious and Ethnic Diversity"
"ou_2063316","Max Planck Institute for the History of Science"
"ou_2074284","Max Planck Institute for Human Development"
"ou_2035290","Max Planck Institute for Innovation and Competition"
"ou_1254545","Kunsthistorisches Institut in Florenz - Max Planck Institute"
"ou_830550","Max Planck Institute for Tax Law and Public Finance"
"ou_2489693","Max Planck Institute for Foreign and International Criminal Law"
"ou_3029158","Max Planck Institute for Comparative Public Law and International Law"
"ou_24030","Max Planck Institute for Comparative and International Private Law"
"ou_900545","Max Planck Institute for European Legal History"
"ou_3000246","Max Planck Institute for Social Law and Social Policy"
"ou_2074304","Max Planck Institute Luxembourg for International, European and Regulatory Procedural Law"
"ou_3029201","Max Planck Institute for Mathematics"
"ou_3039308","Max Planck Institute for Mathematics in the Sciences"
"ou_55201","Max Planck Institute for Psycholinguistics"
"ou_1110546","Max Planck Institute for the Study of Societies"
"ou_24017","Max Planck Institute for Informatics"
"ou_2105284","Max Planck Institute for Software Systems"
